,country_region,continent,population,date,month,day,confirmed,deaths,death / 100.000 hab,recovered,active,new cases,new deaths
6,Argentina,South America,45236884.0,2020-01-22,1,22,0,0,0.0,0,0,0,0
47,Chile,South America,19132514.0,2020-01-22,1,22,0,0,0.0,0,0,0,0
95,Ecuador,South America,17668824.0,2020-01-22,1,22,0,0,0.0,0,0,0,0
156,Mexico,North America,129066160.0,2020-01-22,1,22,0,0,0.0,0,0,0,0
199,Spain,Europe,46756648.0,2020-01-22,1,22,0,0,0.0,0,0,0,0
267,Argentina,South America,45236884.0,2020-01-23,1,23,0,0,0.0,0,0,0,0
308,Chile,South America,19132514.0,2020-01-23,1,23,0,0,0.0,0,0,0,0
356,Ecuador,South America,17668824.0,2020-01-23,1,23,0,0,0.0,0,0,0,0
417,Mexico,North America,129066160.0,2020-01-23,1,23,0,0,0.0,0,0,0,0
460,Spain,Europe,46756648.0,2020-01-23,1,23,0,0,0.0,0,0,0,0
528,Argentina,South America,45236884.0,2020-01-24,1,24,0,0,0.0,0,0,0,0
569,Chile,South America,19132514.0,2020-01-24,1,24,0,0,0.0,0,0,0,0
617,Ecuador,South America,17668824.0,2020-01-24,1,24,0,0,0.0,0,0,0,0
678,Mexico,North America,129066160.0,2020-01-24,1,24,0,0,0.0,0,0,0,0
721,Spain,Europe,46756648.0,2020-01-24,1,24,0,0,0.0,0,0,0,0
789,Argentina,South America,45236884.0,2020-01-25,1,25,0,0,0.0,0,0,0,0
830,Chile,South America,19132514.0,2020-01-25,1,25,0,0,0.0,0,0,0,0
878,Ecuador,South America,17668824.0,2020-01-25,1,25,0,0,0.0,0,0,0,0
939,Mexico,North America,129066160.0,2020-01-25,1,25,0,0,0.0,0,0,0,0
982,Spain,Europe,46756648.0,2020-01-25,1,25,0,0,0.0,0,0,0,0
1050,Argentina,South America,45236884.0,2020-01-26,1,26,0,0,0.0,0,0,0,0
1091,Chile,South America,19132514.0,2020-01-26,1,26,0,0,0.0,0,0,0,0
1139,Ecuador,South America,17668824.0,2020-01-26,1,26,0,0,0.0,0,0,0,0
1200,Mexico,North America,129066160.0,2020-01-26,1,26,0,0,0.0,0,0,0,0
1243,Spain,Europe,46756648.0,2020-01-26,1,26,0,0,0.0,0,0,0,0
1311,Argentina,South America,45236884.0,2020-01-27,1,27,0,0,0.0,0,0,0,0
1352,Chile,South America,19132514.0,2020-01-27,1,27,0,0,0.0,0,0,0,0
1400,Ecuador,South America,17668824.0,2020-01-27,1,27,0,0,0.0,0,0,0,0
1461,Mexico,North America,129066160.0,2020-01-27,1,27,0,0,0.0,0,0,0,0
1504,Spain,Europe,46756648.0,2020-01-27,1,27,0,0,0.0,0,0,0,0
1572,Argentina,South America,45236884.0,2020-01-28,1,28,0,0,0.0,0,0,0,0
1613,Chile,South America,19132514.0,2020-01-28,1,28,0,0,0.0,0,0,0,0
1661,Ecuador,South America,17668824.0,2020-01-28,1,28,0,0,0.0,0,0,0,0
1722,Mexico,North America,129066160.0,2020-01-28,1,28,0,0,0.0,0,0,0,0
1765,Spain,Europe,46756648.0,2020-01-28,1,28,0,0,0.0,0,0,0,0
1833,Argentina,South America,45236884.0,2020-01-29,1,29,0,0,0.0,0,0,0,0
1874,Chile,South America,19132514.0,2020-01-29,1,29,0,0,0.0,0,0,0,0
1922,Ecuador,South America,17668824.0,2020-01-29,1,29,0,0,0.0,0,0,0,0
1983,Mexico,North America,129066160.0,2020-01-29,1,29,0,0,0.0,0,0,0,0
2026,Spain,Europe,46756648.0,2020-01-29,1,29,0,0,0.0,0,0,0,0
2094,Argentina,South America,45236884.0,2020-01-30,1,30,0,0,0.0,0,0,0,0
2135,Chile,South America,19132514.0,2020-01-30,1,30,0,0,0.0,0,0,0,0
2183,Ecuador,South America,17668824.0,2020-01-30,1,30,0,0,0.0,0,0,0,0
2244,Mexico,North America,129066160.0,2020-01-30,1,30,0,0,0.0,0,0,0,0
2287,Spain,Europe,46756648.0,2020-01-30,1,30,0,0,0.0,0,0,0,0
2355,Argentina,South America,45236884.0,2020-01-31,1,31,0,0,0.0,0,0,0,0
2396,Chile,South America,19132514.0,2020-01-31,1,31,0,0,0.0,0,0,0,0
2444,Ecuador,South America,17668824.0,2020-01-31,1,31,0,0,0.0,0,0,0,0
2505,Mexico,North America,129066160.0,2020-01-31,1,31,0,0,0.0,0,0,0,0
2548,Spain,Europe,46756648.0,2020-01-31,1,31,0,0,0.0,0,0,0,0
2616,Argentina,South America,45236884.0,2020-02-01,2,1,0,0,0.0,0,0,0,0
2657,Chile,South America,19132514.0,2020-02-01,2,1,0,0,0.0,0,0,0,0
2705,Ecuador,South America,17668824.0,2020-02-01,2,1,0,0,0.0,0,0,0,0
2766,Mexico,North America,129066160.0,2020-02-01,2,1,0,0,0.0,0,0,0,0
2809,Spain,Europe,46756648.0,2020-02-01,2,1,1,0,0.0,0,1,1,0
2877,Argentina,South America,45236884.0,2020-02-02,2,2,0,0,0.0,0,0,0,0
2918,Chile,South America,19132514.0,2020-02-02,2,2,0,0,0.0,0,0,0,0
2966,Ecuador,South America,17668824.0,2020-02-02,2,2,0,0,0.0,0,0,0,0
3027,Mexico,North America,129066160.0,2020-02-02,2,2,0,0,0.0,0,0,0,0
3070,Spain,Europe,46756648.0,2020-02-02,2,2,1,0,0.0,0,1,0,0
3138,Argentina,South America,45236884.0,2020-02-03,2,3,0,0,0.0,0,0,0,0
3179,Chile,South America,19132514.0,2020-02-03,2,3,0,0,0.0,0,0,0,0
3227,Ecuador,South America,17668824.0,2020-02-03,2,3,0,0,0.0,0,0,0,0
3288,Mexico,North America,129066160.0,2020-02-03,2,3,0,0,0.0,0,0,0,0
3331,Spain,Europe,46756648.0,2020-02-03,2,3,1,0,0.0,0,1,0,0
3399,Argentina,South America,45236884.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3440,Chile,South America,19132514.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3488,Ecuador,South America,17668824.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3549,Mexico,North America,129066160.0,2020-02-04,2,4,0,0,0.0,0,0,0,0
3592,Spain,Europe,46756648.0,2020-02-04,2,4,1,0,0.0,0,1,0,0
3660,Argentina,South America,45236884.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3701,Chile,South America,19132514.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3749,Ecuador,South America,17668824.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3810,Mexico,North America,129066160.0,2020-02-05,2,5,0,0,0.0,0,0,0,0
3853,Spain,Europe,46756648.0,2020-02-05,2,5,1,0,0.0,0,1,0,0
3921,Argentina,South America,45236884.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
3962,Chile,South America,19132514.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
4010,Ecuador,South America,17668824.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
4071,Mexico,North America,129066160.0,2020-02-06,2,6,0,0,0.0,0,0,0,0
4114,Spain,Europe,46756648.0,2020-02-06,2,6,1,0,0.0,0,1,0,0
4182,Argentina,South America,45236884.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4223,Chile,South America,19132514.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4271,Ecuador,South America,17668824.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4332,Mexico,North America,129066160.0,2020-02-07,2,7,0,0,0.0,0,0,0,0
4375,Spain,Europe,46756648.0,2020-02-07,2,7,1,0,0.0,0,1,0,0
4443,Argentina,South America,45236884.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4484,Chile,South America,19132514.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4532,Ecuador,South America,17668824.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4593,Mexico,North America,129066160.0,2020-02-08,2,8,0,0,0.0,0,0,0,0
4636,Spain,Europe,46756648.0,2020-02-08,2,8,1,0,0.0,0,1,0,0
4704,Argentina,South America,45236884.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4745,Chile,South America,19132514.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4793,Ecuador,South America,17668824.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4854,Mexico,North America,129066160.0,2020-02-09,2,9,0,0,0.0,0,0,0,0
4897,Spain,Europe,46756648.0,2020-02-09,2,9,2,0,0.0,0,2,1,0
4965,Argentina,South America,45236884.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5006,Chile,South America,19132514.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5054,Ecuador,South America,17668824.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5115,Mexico,North America,129066160.0,2020-02-10,2,10,0,0,0.0,0,0,0,0
5158,Spain,Europe,46756648.0,2020-02-10,2,10,2,0,0.0,0,2,0,0
5226,Argentina,South America,45236884.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5267,Chile,South America,19132514.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5315,Ecuador,South America,17668824.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5376,Mexico,North America,129066160.0,2020-02-11,2,11,0,0,0.0,0,0,0,0
5419,Spain,Europe,46756648.0,2020-02-11,2,11,2,0,0.0,0,2,0,0
5487,Argentina,South America,45236884.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5528,Chile,South America,19132514.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5576,Ecuador,South America,17668824.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5637,Mexico,North America,129066160.0,2020-02-12,2,12,0,0,0.0,0,0,0,0
5680,Spain,Europe,46756648.0,2020-02-12,2,12,2,0,0.0,0,2,0,0
5748,Argentina,South America,45236884.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5789,Chile,South America,19132514.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5837,Ecuador,South America,17668824.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5898,Mexico,North America,129066160.0,2020-02-13,2,13,0,0,0.0,0,0,0,0
5941,Spain,Europe,46756648.0,2020-02-13,2,13,2,0,0.0,0,2,0,0
6009,Argentina,South America,45236884.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6050,Chile,South America,19132514.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6098,Ecuador,South America,17668824.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6159,Mexico,North America,129066160.0,2020-02-14,2,14,0,0,0.0,0,0,0,0
6202,Spain,Europe,46756648.0,2020-02-14,2,14,2,0,0.0,0,2,0,0
